panel,corpus,n_fakes_in_dict,contamination_pct,mean_auc,sd,seeds
a,sonics,0,0.0,0.3820,0.0427,0.402;0.411;0.333
a,sonics,9,0.141,0.4000,0.0540,0.437;0.425;0.338
a,sonics,23,0.36,0.4930,0.1362,0.611;0.524;0.344
a,sonics,47,0.733,0.6607,0.2162,0.785;0.786;0.411
a,sonics,70,1.09,0.7870,0.0010,0.787;0.786;0.788
a,sonics,93,1.44,0.7880,0.0017,0.787;0.79;0.787
a,sonics,233,3.53,0.7933,0.0031,0.796;0.794;0.79
a,sonics,931,12.8,0.9007,0.0021,0.899;0.903;0.9
a,sonics,2328,26.8,0.9140,0.0010,0.913;0.915;0.914
a,sonics,11640,64.7,0.9317,0.0012,0.931;0.933;0.931
b,fmc,0,0.0,0.7444,0.0203,
b,fmc,14,0.52,0.8357,0.0180,
b,fmc,28,1.03,0.8749,0.0142,
b,fmc,55,2.01,0.9401,0.0178,
b,fmc,138,4.9,0.9771,0.0017,
b,fmc,552,17.1,0.9873,0.0008,
b,fmc,1380,34.0,0.9917,0.0006,
b,fmc,6901,72.0,0.9919,0.0004,
