corpus,atom,spacing_hz,periodicity,peakiness,on_decoder_comb,matched_fundamental_hz,submultiple
fmc,9,49.8,0.8598,0.6155,True,200.195,4
fmc,8,49.8,0.8996,0.6122,True,200.195,4
fmc,13,250.1,0.8712,0.5649,True,250.000,1
fmc,6,250.1,0.8112,0.5493,True,250.000,1
fmc,15,200.3,0.7846,0.5354,True,200.195,1
fmc,2,43.0,0.6879,0.5339,False,,
fmc,18,250.1,0.7396,0.5163,True,250.000,1
fmc,14,43.0,0.589,0.51,False,,
fmc,0,299.9,0.8207,0.499,False,,
fmc,12,200.3,0.8552,0.4961,True,200.195,1
fmc,1,1378.3,0.2823,0.4728,False,,
fmc,7,409.3,0.3399,0.4654,False,,
fmc,11,49.8,0.93,0.4637,True,200.195,4
fmc,3,49.8,0.2324,0.4544,True,200.195,4
fmc,4,99.6,0.6164,0.3962,True,200.195,2
fmc,5,200.3,0.6849,0.391,True,200.195,1
fmc,17,99.6,0.7587,0.2603,True,200.195,2
fmc,19,99.6,0.4216,0.2523,True,200.195,2
fmc,10,49.8,0.9348,0.1651,True,200.195,4
fmc,16,99.6,0.8804,0.1543,True,200.195,2
sonics,16,400.0,0.706,0.7761,True,399.902,1
sonics,0,200.7,0.4388,0.7718,True,399.902,2
sonics,4,400.0,0.5926,0.7493,True,399.902,1
sonics,11,300.3,0.3548,0.7436,False,,
sonics,1,400.0,0.4673,0.7406,True,399.902,1
sonics,13,400.0,0.3977,0.6927,True,399.902,1
sonics,7,200.7,0.5347,0.6914,True,399.902,2
sonics,19,200.7,0.4548,0.6895,True,399.902,2
sonics,14,400.0,0.4041,0.6888,True,399.902,1
sonics,2,400.0,0.4132,0.6797,True,399.902,1
sonics,12,527.4,0.253,0.6232,False,,
sonics,6,165.6,0.475,0.5789,False,,
sonics,18,137.7,0.3128,0.5766,False,,
sonics,17,394.1,0.33,0.5709,False,,
sonics,15,209.5,0.3823,0.5673,False,,
sonics,10,39.6,0.5782,0.4303,False,,
sonics,5,46.9,0.3654,0.4185,False,,
sonics,3,142.1,0.3006,0.4071,False,,
sonics,8,58.6,0.6908,0.2838,False,,
sonics,9,49.8,0.8344,0.2196,False,,

# fmc,source=transcribed: nmf_fmc_periodicity/atom_peakiness.csv,on_own_comb=15/20,cross_corpus=7/20,cross_fisher_p=0.0248,fundamental_only_own=6,fundamental_only_cross=0,fundamental_only_p=0.0202,uniform_null_mean=0.637,uniform_p=0.00010,mean_periodicity=0.7000,tol=0.01,"submultiples=(1, 2, 4)"
# sonics,source=transcribed: nmf_sonics_periodicity/atom_peakiness.csv,on_own_comb=9/20,cross_corpus=4/20,cross_fisher_p=0.1760,fundamental_only_own=6,fundamental_only_cross=3,fundamental_only_p=0.4506,uniform_null_mean=0.338,uniform_p=0.01015,mean_periodicity=0.4643,tol=0.01,"submultiples=(1, 2, 4)"
